source_id,ra,e_ra,dec,e_dec,parallax,e_parallax,pmra,e_pmra,pmdec,e_pmdec,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP_RP,BP_G,G_RP,rv,e_rv,rv_flag,rv_gaia,e_rv_gaia,rv_bh18,e_rv_bh18,U,e_U,V,e_V,B,e_B,I,e_I,CUBI,e_CUBI,chi,sharp,vary,RAJ2000,DEJ2000,Cluster,_2MASS,Jmag,e_Jmag,Kmag,e_Kmag,dCUBI,X,Y,pm_X,pm_Y,r,theta,pm_r,pm_t
4689613325238414080,5.29652907769,0.0325,-72.22245732524,0.0301,0.1343,0.0354,5.389,0.04,-2.247,0.039,0.941,16.193476,0.002792,16.63298,0.003736,15.587551,0.004414,1.045429,0.439505,0.605925,,,,,,,,17.709,0.0056,16.409,0.0018,17.232,0.0014,15.481,0.0024,-1.2740011,0.0064062467,1.149,0.127,0.372,b'00 21 11.17',b'-72 13 20.9\r',b'NGC104',,,,,,1.2618753552401785,-0.22159687468346967,-0.14234823169912514,0.1689277119195202,-0.1256716067740152,0.2633784234468518,-147.28433587561543,-0.07420775686156512,0.19703586837198436
4689807973146848768,5.31037945244,0.0342,-72.00053102054,0.0321,0.171,0.038,5.096,0.046,-2.987,0.04,1.007,16.396292,0.002799,16.83148,0.004479,15.804647,0.004282,1.026833,0.435188,0.591644,,,,,,,,17.805,0.0085,16.615,0.0009,17.392,0.0016,15.723,0.0014,-1.2560005,0.008906739,1.109,0.014,0.315,b'00 21 14.49',b'-72 00 01.9\r',b'NGC104',,,,,,,-0.21999262508998432,0.07961287318038295,-0.11586241293117037,0.02854969671665713,0.23395504839609282,160.10537590808167,0.11866296514802274,0.012581121377893195
4689617826364032768,5.33701228116,0.0302,-72.13420519847,0.0302,0.1266,0.0347,4.641,0.04,-3.028,0.04,0.975,16.319069,0.002807,16.722025,0.007786,15.688826,0.00513,1.033199,0.402956,0.630243,,,,,,,,17.783,0.0059,16.537,0.0011,17.344,0.0009,15.628,0.0017,-1.2769985,0.0062705665,1.125,0.1,0.354,b'00 21 20.88',b'-72 08 03.1\r',b'NGC104',,,,,,,-0.21024230492589932,-0.05395713480172987,-0.5717722352100959,0.04215707126569352,0.21705575130958146,-165.6061142645065,0.5433444501448178,-0.18296862056559218
4689613771914956672,5.48207178389,0.0332,-72.19317041081,0.033,0.0812,0.0369,5.753,0.042,-2.416,0.041,2.851,14.310543,0.002788,14.754232,0.004178,13.607922,0.004118,1.146311,0.443689,0.702621,-14.16,4.64,B&H+18,-14.16,4.64,,,16.101,0.0064,14.582,0.0039,15.54,0.0034,13.543,0.004,-1.4359999,0.008948743,1.461,0.06,1.432,b'00 21 55.69',b'-72 11 35.4\r',b'NGC104',,,,,,0.38923942938620687,-0.1652130122622945,-0.11246704294871167,0.5268611241377211,-0.07809310320773373,0.19986038919808105,-145.75533010955573,-0.39158040912581515,0.36103456909988013
4689600509056058368,5.36971846292,0.04,-72.30048408764,0.036,0.2085,0.0428,5.278,0.053,-3.048,0.046,1.081,16.456886,0.002809,16.896473,0.00452,15.860188,0.004553,1.036285,0.439587,0.596699,,,,,,,,17.871,0.0112,16.667,0.0028,17.449,0.002,15.725,0.0055,-1.3019981,0.012794139,1.101,0.121,0.536,b'00 21 28.73',b'-72 18 01.7\r',b'NGC104',,,,,,,-0.19840568786844193,-0.22011425851716837,0.06364603327470668,0.03852547493292308,0.29633613310076184,-132.03073699839226,-0.07122905040294521,0.021481437314738658
4689614459109731968,5.38051986219,0.035,-72.1885253359,0.0339,0.1941,0.0395,5.142,0.045,-3.032,0.042,0.947,16.3887,0.002804,16.827322,0.004256,15.79242,0.004682,1.034902,0.438622,0.59628,,,,,,,,17.768,0.006,16.605,0.001,17.413,0.0009,15.692,0.0015,-1.3660002,0.0063142697,1.102,0.093,0.196,b'00 21 31.32',b'-72 11 18.7\r',b'NGC104',,,,,,,-0.19631636503060299,-0.1081270483518303,-0.07310324539440931,0.039901173025202956,0.22412401425128012,-151.15492380468336,0.04478309643127594,-0.07021867536495865
4689824637619709568,5.41782345743,0.0335,-71.8394175225,0.0324,0.1232,0.0377,4.816,0.041,-2.56,0.043,0.993,16.396677,0.002804,16.847343,0.005553,15.785346,0.004239,1.061997,0.450666,0.611331,,,,,,,,17.863,0.006,16.61,0.0012,17.431,0.0022,15.662,0.003,-1.3369989,0.0073945927,1.111,0.035,0.402,b'00 21 40.28',b'-71 50 21.9\r',b'NGC104',,,,,,,-0.18840962876878276,0.24108048043804475,-0.4058361016732973,-0.04183268664534433,0.30597056437021686,128.00839843951397,0.2169436958728027,0.3455261899109753
4689619269472951808,5.41852671718,0.0335,-72.0564534622,0.0336,0.1831,0.0401,5.228,0.042,-2.293,0.043,1.008,16.413486,0.002799,16.849125,0.003857,15.823021,0.00415,1.026104,0.435638,0.590466,,,,,,,,17.742,0.0052,16.63,0.0011,17.418,0.0014,15.738,0.0019,-1.355998,0.0058796257,1.105,0.084,0.267,b'00 21 40.45',b'-72 03 23.2\r',b'NGC104',,,,,,,-0.18601587751110202,0.024058361343820618,0.003431456306247851,-0.10181745441187696,0.18756521915529847,172.63056018651304,-0.016462894769098714,0.10053627211667396
4689619063314527232,5.42200600377,0.0311,-72.06328352542,0.0318,0.1768,0.0369,5.152,0.042,-3.061,0.042,1.024,16.435804,0.002802,16.885223,0.003908,15.837419,0.004309,1.047805,0.449419,0.598386,,,,,,,,17.727,0.0081,16.668,0.0023,17.477,0.0024,15.749,0.0019,-1.4779997,0.008985545,1.254,0.065,0.488,b'00 21 41.28',b'-72 03 47.8\r',b'NGC104',,,,,,,-0.18487595680657112,0.017239354928456567,-0.0650537933704287,0.051494631374400406,0.18567798674989575,174.67267535900163,0.06955383751453541,-0.04523225374961351
4689619269472946944,5.42847472434,0.0386,-72.05134473989,0.0385,0.1996,0.0456,5.529,0.054,-3.133,0.051,1.323,16.26919,0.002929,16.35507,0.012595,15.373345,0.01004,0.981725,0.08588,0.895844,,,,,,,,17.614,0.0094,16.5,0.0023,17.312,0.003,15.566,0.0012,-1.4440002,0.010382677,1.105,0.113,0.678,b'00 21 42.83',b'-72 03 04.8\r',b'NGC104',,,,,,0.5072828640884007,-0.18300163848970966,0.029197312045835963,0.3122835972489953,0.06266891183320975,0.1853161696145814,170.9350473707374,-0.29850954890072817,-0.11108774386139587
4689614459109730560,5.38787475111,0.0305,-72.18740956982,0.0289,0.1373,0.0339,4.91,0.039,-2.647,0.036,1.201,15.673023,0.00282,16.095335,0.003561,15.031028,0.004011,1.064307,0.422312,0.641995,,,,,,,,17.147,0.0058,15.872,0.0012,16.713,0.0008,14.936,0.0016,-1.3429995,0.0061220913,1.224,0.17,0.085,b'00 21 33.09',b'-72 11 14.7\r',b'NGC104',,,,,,0.8708506820928649,-0.19407850988909958,-0.10698750536192783,-0.30954405631935883,-0.03266821930586595,0.22161406612474277,-151.1338579575356,0.2868542669482751,-0.12082783159862749
4689617856430762240,5.39401226179,0.0331,-72.12585266892,0.0332,0.1871,0.039,5.341,0.045,-3.067,0.045,1.024,16.417103,0.002804,16.860165,0.004202,15.82063,0.00437,1.039535,0.443062,0.596473,,,,,,,,17.854,0.0103,16.634,0.0013,17.432,0.0013,15.738,0.0012,-1.2719984,0.010531382,1.098,0.08,0.09,b'00 21 34.56',b'-72 07 33.1\r',b'NGC104',,,,,,,-0.19284369270573395,-0.04541432722382348,0.12552159564988694,0.04695871249641447,0.198119032234604,-166.74840524188593,-0.13294354438180736,-0.016935337641069945
4689811477840043904,5.40641473137,0.03,-71.92186086652,0.0287,0.1492,0.034,4.735,0.037,-2.918,0.036,1.035,16.129248,0.002791,16.57344,0.003676,15.515545,0.004265,1.057896,0.444193,0.613703,,,,,,,,17.583,0.0067,16.352,0.0013,17.17,0.002,15.425,0.0022,-1.3319998,0.0075980257,1.122,0.062,0.297,b'00 21 37.54',b'-71 55 18.7\r',b'NGC104',,,,,,1.0007767477881186,-0.19112303406248432,0.1586059242471544,-0.48264677009335943,0.02855394704626576,0.24836234286933198,140.31197668013084,0.38964739631963013,0.28624838709555417
