source_id,ra,e_ra,dec,e_dec,parallax,e_parallax,pmra,e_pmra,pmdec,e_pmdec,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP_RP,BP_G,G_RP,rv,e_rv,rv_flag,rv_gaia,e_rv_gaia,rv_bh18,e_rv_bh18,U,e_U,V,e_V,B,e_B,I,e_I,CUBI,e_CUBI,chi,sharp,vary,RAJ2000,DEJ2000,Cluster,_2MASS,Jmag,e_Jmag,Kmag,e_Kmag,dCUBI,X,Y,pm_X,pm_Y,r,theta,pm_r,pm_t,p_p1,p_p2
4421530090905904000,229.406933039,0.045,2.12196894677,0.0408,0.1187,0.05,4.099,0.058,-9.869,0.05,1.01,16.315113,0.002845,16.726143,0.006079,15.729719,0.006438,0.996424,0.41103,0.585394,,,,,,,,17.347,0.0033,16.522,0.0014,17.251,0.0054,15.659,0.0051,-1.4960000000000004,0.0097580735803743,1.064,0.0,0.875,229.40691480863,2.12201280999,,,,,,,0.9116960197815857,-0.2309078855340804,0.0409858507454007,0.0063945858930923,-0.0162123328601513,0.2345171455632706,169.93490255762703,-0.0091295523708448,0.0148452598165366,0.00688,0.99312
4421463398653579648,229.41035007037,0.0318,1.73893992346,0.0273,0.145,0.0387,4.141,0.036,-9.758,0.031,0.992,15.465949,0.002791,15.912241,0.004094,14.848453,0.00413,1.063788,0.446292,0.617496,,,,,,,,16.72,0.0041,15.711,0.006,16.52,0.01,14.779,0.0075,-1.5410000000000004,0.0165245272247044,1.111,0.123,0.847,229.41033165871,1.73898329448,,,,,,,0.7100034530575876,-0.2275444906774052,-0.3420416297989416,0.048781224322356,0.0863519876920898,0.4108150091624648,-123.63398738534843,-0.0989152600156366,-0.0072142193480561,0.03548,0.96452
4421638530243322496,229.41136977578,0.0368,2.31022222208,0.0327,0.1176,0.0423,4.057,0.045,-9.786,0.043,1.018,15.785548,0.0028,16.22151,0.004336,15.181921,0.004044,1.039589,0.435962,0.603627,,,,,,,,16.875,0.0064,16.013,0.0022,16.803,0.004,15.106,0.0021,-1.6250000000000018,0.0087960218280766,1.217,0.07,0.792,229.41135173162,2.31026571426,,,,,,,-0.0183775943894338,-0.2264454330567404,0.2292378729621897,-0.0355725948762272,0.0764307853037917,0.3222228057609885,134.64889427304354,0.0793739047835787,-0.0284052404987157,0.96536,0.03464
4421526861090493696,229.41574089361,0.0524,2.08391635398,0.05,0.0634,0.0618,4.222,0.066,-9.719,0.061,0.911,16.59742,0.002881,16.991934,0.006411,16.02962,0.005438,0.962315,0.394514,0.567801,,,,,,,,17.47,0.0023,16.793,0.0016,17.51,0.0033,15.955,0.0032,-1.5950000000000042,0.0061081912216301,1.076,0.009,0.545,229.4157221166,2.08395955079,,,,,,,0.0048505043591766,-0.2221115562247896,0.0029319974307694,0.1297312098589828,0.1379314603335607,0.2221309073891608,179.24370742140368,-0.1278992939762757,-0.1396318200181973,0.95908,0.04092
4421525104447191680,229.42939469555,0.041,2.05510644275,0.0359,0.1356,0.0441,4.05,0.054,-10.097,0.044,1.003,15.999698,0.002827,16.41462,0.006241,15.398671,0.005153,1.015948,0.414922,0.601027,,,,,,,,17.067,0.0027,16.222,0.0012,16.995,0.002,15.322,0.0027,-1.6010000000000026,0.0047518417482066,1.186,0.045,0.439,229.42937668257,2.05515131614,,,,,,,0.0950897253384535,-0.2084706687017456,-0.0258797756419481,-0.0418509566878258,-0.2526050955512813,0.210070898737142,-172.92344368316316,0.0726519485428395,0.2455250114491125,0.91528,0.08472
4421523833136764544,229.43732270512,0.0367,1.98615359065,0.0342,0.1586,0.042,3.935,0.042,-9.834,0.039,0.986,15.894247,0.002812,16.306417,0.003865,15.298654,0.004537,1.007764,0.41217,0.595593,,,,,,,,16.924,0.003,16.116,0.0015,16.876,0.0022,15.219,0.0028,-1.6090000000000035,0.0051497572758334,1.11,-0.024,0.819,229.43730520537,1.98619729656,,,,,,,0.0865833993823045,-0.2005563243002106,-0.0948336123270073,-0.1565146681906231,0.0183060687993046,0.2218473647438715,-154.6927448284447,0.1336683712870331,-0.0834548981856521,0.91924,0.08076
4421526616275690752,229.44337015909,0.0712,2.06883858868,0.0614,0.1731,0.0766,4.085,0.089,-9.847,0.077,1.043,17.176895,0.002927,17.56683,0.010969,16.630905,0.008314,0.935925,0.389935,0.54599,,,,,,,,18.076,0.0027,17.38,0.0009,18.075,0.0019,16.535,0.0013,-1.538999999999998,0.0040249223594996,0.97,0.009,0.22,229.44335199001,2.06888235488,,,,,,,0.3859272975344205,-0.1945026023190392,-0.0121494152249342,-0.0063680177054388,0.0074607436960599,0.1948816835908038,-176.42571888039924,0.0058905091598126,-0.0078432294262787,0.4374,0.5626
4421526620572321664,229.44487068616,0.0188,2.07512414479,0.0157,0.0965,0.0207,3.977,0.023,-9.808,0.02,1.054,14.161821,0.002768,14.672691,0.004088,13.489039,0.003869,1.183652,0.51087,0.672782,,,,,,,,15.76,0.0018,14.446,0.0008,15.383,0.002,13.395,0.0013,-1.6109999999999989,0.003595830919273,1.259,0.022,0.432,229.444852997,2.07516773801,,,,,,,0.0866951982149854,-0.1930022959002542,-0.0058640434995029,-0.114316987420157,0.0485021461952583,0.1930913597987578,-178.25970146325625,0.112791283670491,-0.0519514978256582,0.92192,0.07808
4421525830298334976,229.44592635619,0.0328,2.05683776917,0.029,0.1701,0.0361,3.955,0.041,-9.87,0.036,1.017,15.707067,0.002793,16.138128,0.005425,15.100598,0.004369,1.03753,0.431061,0.606469,,,,,,,,16.882,0.0034,15.937,0.0009,16.712,0.001,15.02,0.0013,-1.5219999999999985,0.0039051248379533,1.129,0.028,0.29,229.44590876922,2.05688163468,,,,,,,0.8458136688385623,-0.1919495340750208,-0.0241505470546782,-0.1362792427703137,-0.0161197687474605,0.1934628454113549,-172.82888824965082,0.1372255139277832,-0.0010184703125258,0.01188,0.98812
4421526723651537152,229.45158720175,0.0526,2.08146330004,0.0444,0.1711,0.0568,4.198,0.065,-9.928,0.055,1.008,16.535608,0.002839,16.947906,0.007508,15.956445,0.005951,0.991462,0.412298,0.579164,,,,,,,,17.492,0.0021,16.754,0.001,17.479,0.0013,15.876,0.0007,-1.589999999999998,0.0028774989139876,0.992,0.009,0.206,229.45156853363,2.08150742345,,,,,,,0.0459018489675564,-0.1862894738106119,0.0004743044244835,0.1068845995358798,-0.0757389749226644,0.186290077613709,179.85412174692297,-0.1070770885514987,0.0754665955745712,0.9428,0.0572
4421525761578851968,229.46056900337,0.0633,2.03963551991,0.0551,0.0456,0.0701,4.246,0.073,-9.825,0.065,0.954,16.942316,0.002945,17.326366,0.008986,16.378218,0.006787,0.948149,0.38405,0.564098,,,,,,,,17.895,0.0073,17.144,0.0018,17.842,0.0039,16.279,0.0051,-1.509999999999998,0.0104747315001387,1.026,-0.02,0.666,229.46055011847,2.03967918743,,,,,,,0.7412342867296136,-0.1773183010052357,-0.0413545067361185,0.1552137008142409,0.0300003144976877,0.1820768384467696,-166.8720341682244,-0.1579710971173597,0.006036908641892,0.02756,0.97244
4421534862613726720,229.18384273905,0.0655,2.07795680006,0.0621,0.0265,0.0787,4.209,0.079,-9.868,0.069,0.965,17.066349,0.002926,17.465424,0.008705,16.50475,0.006658,0.960674,0.399075,0.5616,,,,,,,,17.953,0.0086,17.272,0.0021,17.979,0.0081,16.435,0.0022,-1.5700000000000005,0.0144920667953194,1.139,0.052,0.216,229.18382401834,2.07800066004,,,,,,,0.0724737683243573,-0.4538538624956904,-0.0029778829876745,0.1090451238877247,-0.0334495498896733,0.4538636318205561,-179.62406912712558,-0.1088233080475828,0.0341642950621239,0.9312,0.0688
4421477035173120256,229.46680096147,0.0717,1.9914165049,0.0656,0.1881,0.0825,4.071,0.086,-10.059,0.077,1.047,17.273153,0.002978,17.666346,0.012246,16.706627,0.009029,0.959719,0.393192,0.566526,,,,,,,,18.144,0.0049,17.472,0.0022,18.152,0.0035,16.619,0.0062,-1.541000000000004,0.0093246983865431,1.021,-0.041,0.7,229.46678285683,1.99146121012,,,,,,,0.327427484193064,-0.1710953872696848,-0.0895741766065962,-0.0195813343523717,-0.2127861148717898,0.1931247386010221,-152.36643349171965,0.1160411513282679,0.1794319105835412,0.57312,0.42688
4421477039469820928,229.46699516303,0.025,1.99614650077,0.024,0.0659,0.0294,3.911,0.03,-9.943,0.028,1.088,15.081976,0.002778,15.542939,0.003394,14.450493,0.00399,1.092446,0.460963,0.631483,,,,,,,,16.334,0.0035,15.327,0.0016,16.15,0.0027,14.348,0.0038,-1.6179999999999968,0.0064241730985396,1.161,-0.027,1.294,229.46697777183,1.99619069057,,,,,,,-0.0366028694167451,-0.1709008127154052,-0.0848442072911414,-0.1795646744897016,-0.0920771382866194,0.1908025872404465,-153.59776562273035,0.2017790281025654,0.0026259355722992,0.96976,0.03024
4421525589780481024,229.47582931681,0.0569,2.03995013805,0.055,0.0247,0.0675,4.16,0.07,-9.69,0.066,0.933,16.819633,0.002883,17.219393,0.006832,16.255388,0.005067,0.964005,0.399759,0.564245,,,,,,,,17.783,0.0063,17.028,0.0015,17.72,0.0028,16.163,0.0027,-1.4939999999999962,0.0079158069708653,1.044,0.003,0.481,229.47581081461,2.03999320428,,,,,,,0.8909762674493387,-0.1620676911270591,-0.0410415298686605,0.069726756543457,0.1711090918108024,0.167183562832044,-165.7893352755523,-0.1095982944420006,-0.1487560275544916,0.008,0.992
