ID,x_1,y_1,U,sigma_U,N_U,B,sigma_B,N_B,V,sigma_V,N_V,R,sigma_R,N_R,I,sigma_I,N_I,chi,sharp,vary,wt,ra_1,dec_1,cc,sigma_cc,source_id,ra_2,dec_2,x_2,y_2,plx,pmra,pmdec,plxe,pmrae,pmdece,pmcorr,g_mag,bp_rp,qflag,memberprob,x,y,mu_x,mu_y,r,theta,mu_r,mu_t,Del_CUBI,Del_CUBI_sigma,p_p1,p_p2
14119,-823.475,-482.569,18.13,0.0035,38,18.11,0.0038,36,17.406,0.0013,45,16.969,0.0055,15,16.561,0.0052,32,1.046,0.025,0.314,75.5,229.3157083333333,2.001777777777778,-1.529,0.0082565125809872,4421518782255263360,229.315718,2.00176,-0.3225,-0.0792,0.2359,4.0751,-9.9048,0.0807,0.0971,0.0757,0.1633,17.1917,0.9624,3,0.99994,-0.3220836304407257,-0.079207081460001,-0.0204169296181349,-0.0636002862851224,0.3316800065594687,-166.18393651837604,0.035014325979412,0.0568844830053757,0.5332830681605604,0.0082565125809872,0.314,0.686
17546,-483.156,-1428.73,16.72,0.0041,5,16.52,0.01,7,15.711,0.006,13,15.243,0.0021,6,14.779,0.0075,13,1.111,0.123,0.847,22.0,229.4103333333333,1.7389722222222224,-1.5410000000000004,0.0165245272247044,4421463398653579648,229.41035,1.73894,-0.228,-0.3421,0.1798,4.1407,-9.7585,0.0387,0.0364,0.0309,0.0275,15.4659,1.0638,3,0.99994,-0.2275445610052063,-0.3420415532501588,0.0484811641123158,0.0858355892244779,0.4108149843820614,-123.63400146521494,-0.098319109582131,-0.0071780458465756,0.703726800958328,0.0165245272247044,0.11036,0.88964
18795,-385.934,-538.82,16.924,0.003,35,16.876,0.0022,36,16.116,0.0015,54,15.669,0.0035,18,15.219,0.0028,30,1.11,-0.024,0.819,79.0,229.4373333333333,1.9861666666666664,-1.6090000000000035,0.0051497572758334,4421523833136764544,229.437323,1.986154,-0.201,-0.0949,0.1931,3.9351,-9.8338,0.042,0.0416,0.0388,-0.1837,15.8942,1.0078,3,0.99999,-0.2005560295495006,-0.0948332030150531,-0.156414635162683,0.018512758209417,0.2218469233114456,-154.6928078538669,0.1334896765390088,-0.0835988430966981,0.0691923656976197,0.0051497572758334,0.97792,0.02208
24880,-78.244,-779.804,18.168,0.0035,33,18.135,0.0029,39,17.467,0.0017,58,17.042,0.0046,21,16.628,0.0044,35,1.065,0.035,0.47,85.5,229.52283333333327,1.9192222222222224,-1.4740000000000038,0.0069591666167724,4421475527641251072,229.522843,1.919216,-0.1155,-0.1618,0.0706,3.913,-9.7975,0.0914,0.0972,0.0853,-0.1956,17.2679,0.9745,3,0.99999,-0.1150923240496229,-0.1617795851215284,-0.1757070330448135,0.0598288286840831,0.1985418777417934,-125.42859413911748,0.05310440206416,-0.1778549203270142,0.9648272266846192,0.0069591666167724,0.04268,0.95732
28973,33.831,-678.939,17.475,0.0029,35,17.422,0.0031,69,16.689,0.0027,90,16.267,0.0048,21,15.789,0.0047,64,1.067,-0.009,1.327,132.0,229.554,1.94725,-1.58,0.0070512410255216,4421475695143224576,229.553989,1.947235,-0.0844,-0.1338,0.1433,4.0105,-9.8928,0.0592,0.0589,0.0553,-0.2627,16.4906,1.01,3,1.0,-0.0839624571718466,-0.1337626432522339,-0.0772146872429927,-0.0359207441555747,0.1579308042914952,-122.116383406606,0.071474267525921,-0.0463015860242012,0.1917365567070619,0.0070512410255216,0.94008,0.05992
20414,-279.162,-502.85,16.334,0.0035,36,16.15,0.0027,60,15.327,0.0016,85,14.843,0.0029,21,14.348,0.0038,54,1.161,-0.027,1.294,121.5,229.467,1.996138888888889,-1.6179999999999968,0.0064241730985396,4421477039469820928,229.466995,1.996147,-0.1713,-0.0849,0.1008,3.9106,-9.9427,0.0294,0.0301,0.0279,-0.1995,15.082,1.0924,3,0.99999,-0.1709009755938431,-0.0848437080440344,-0.1799646470988429,-0.0917654320082604,0.1908025111301964,-153.59792165258577,0.2019986689647809,0.0021694362241271,0.1660492772443092,0.0064241730985396,0.95424,0.04576
20008,-302.272,-346.29,17.895,0.0073,36,17.842,0.0039,69,17.144,0.0018,90,16.719,0.0043,24,16.279,0.0051,62,1.026,-0.02,0.666,133.0,229.4605833333333,2.039638888888889,-1.509999999999998,0.0104747315001387,4421525761578851968,229.460569,2.039636,-0.1777,-0.0414,0.0743,4.2464,-9.8252,0.0701,0.0728,0.0652,-0.1683,16.9423,0.9481,3,0.99999,-0.1773183043201898,-0.041354026645868,0.1556136764894025,0.0297920919637829,0.1820767326343885,-166.8721815313195,-0.1583133429075699,0.0063301272939111,0.7131784750797807,0.0104747315001387,0.10176,0.89824
20975,-247.375,-345.16,17.783,0.0063,41,17.72,0.0028,70,17.028,0.0015,92,16.6,0.0031,25,16.163,0.0027,65,1.044,0.003,0.481,139.0,229.4758333333333,2.039944444444444,-1.4939999999999962,0.0079158069708653,4421525589780481024,229.475829,2.03995,-0.1625,-0.0411,0.0477,4.1604,-9.6899,0.0675,0.0695,0.0659,-0.2602,16.8161,0.964,2,0.99999,-0.1620680077489237,-0.0410416678860833,0.0701267547479942,0.1712114317744144,0.1671839036467828,-165.7893160606901,-0.1100112256736688,-0.1487570042973015,0.8615974112135906,0.0079158069708653,0.05092,0.94908
24444,-94.315,-470.783,17.965,0.0078,30,17.948,0.0012,215,17.232,0.001,243,16.805,0.0034,20,16.357,0.0032,65,0.999,0.013,0.258,279.5,229.518375,2.005055555555556,-1.5740000000000016,0.0086,4421478310780125568,229.518375,2.005056,-0.12,-0.076,0.0952,3.9584,-9.7534,0.0739,0.0786,0.0727,-0.234,17.0259,0.9685,3,1.0,-0.1195516719549842,-0.0759394458753834,-0.1304785253058885,0.1078608584909857,0.1416312172760385,-147.5762106701777,0.0523050791454603,-0.1610055559786647,0.1782424964784852,0.0086,0.94584,0.05416
21731,-207.522,-395.257,17.949,0.0048,37,17.92,0.0027,68,17.22,0.0019,88,16.795,0.0042,17,16.359,0.0034,65,0.988,-0.002,0.737,130.0,229.48691666666664,2.0260277777777778,-1.532,0.0070128453569146,4421525486700931072,229.486907,2.026034,-0.1514,-0.055,0.1085,4.0547,-9.6843,0.0753,0.0751,0.0695,-0.1802,17.0173,0.9708,3,1.0,-0.1509983716560463,-0.0549587619035801,-0.0352049092634026,0.1776363895928185,0.1606890592192011,-160.00005052762836,-0.027673272154171,-0.1789644169998527,0.523978685612804,0.0070128453569146,0.335,0.665
22879,-154.269,-379.961,17.822,0.0049,38,17.815,0.0026,73,17.111,0.0016,99,16.663,0.0052,21,16.243,0.0019,68,1.071,0.014,0.459,142.0,229.5017083333333,2.0302777777777776,-1.5650000000000048,0.0064140470843298,4421478585658389888,229.501709,2.030283,-0.1366,-0.0507,0.1349,4.1534,-9.7705,0.067,0.0734,0.0672,-0.233,16.8942,0.9707,2,1.0,-0.13620531374637,-0.0507111108656259,0.0639676093581287,0.0893701689885087,0.1453392729374029,-159.57900938709471,-0.0911301438503111,-0.0614343473461741,0.2571895143530904,0.0064140470843298,0.88624,0.11376
23408,-132.212,-398.182,17.233,0.004,38,17.117,0.0014,193,16.389,0.0012,224,15.952,0.0032,21,15.506,0.0021,65,1.025,0.023,0.639,263.0,229.5078333333333,2.0252222222222223,-1.495000000000001,0.0049325449820554,4421478585658050176,229.507842,2.025222,-0.1305,-0.0558,0.1252,3.8904,-9.7869,0.0451,0.0505,0.0481,-0.3029,16.1787,0.9988,3,1.0,-0.1300765871643084,-0.0557726261675297,-0.1988311209246828,0.0732727179262878,0.1415291643370261,-156.79191444491286,0.1538669561765924,-0.1456971710000636,0.9171803220925548,0.0049325449820554,0.04404,0.95596
26205,-35.664,-556.005,15.235,0.0037,33,15.017,0.0011,220,14.222,0.0007,250,13.749,0.0024,29,13.263,0.0023,71,1.363,0.135,0.672,294.0,229.53466666666665,1.981388888888889,-1.5359999999999996,0.0046260134024881,4421477451786640128,229.534674,1.981384,-0.1037,-0.0996,0.0973,4.0966,-9.7919,0.0186,0.0238,0.0185,-0.0147,13.9836,1.0695,3,1.0,-0.1032641668052593,-0.0996125686920744,0.0082555396709318,0.0681183200259055,0.1434787509961585,-136.03116096886217,-0.0532339611641884,-0.0432943972954894,0.6642648887588494,0.0046260134024881,0.13724,0.86276
25131,-69.139,-494.072,16.839,0.0048,37,16.723,0.0012,220,15.942,0.0009,251,15.485,0.0034,27,15.017,0.0023,71,1.056,0.025,0.55,296.0,229.525375,1.9985833333333332,-1.59,0.0055865910893853,4421478310780117248,229.525371,1.998587,-0.113,-0.0824,0.1554,4.2604,-9.8382,0.037,0.0397,0.0371,-0.2525,15.7149,1.0448,3,1.0,-0.1125604138670011,-0.0824089542533688,0.1717445309968364,0.0197698189060226,0.1395029838786411,-143.79099014662123,-0.1502537437368102,0.085503462853695,0.2625023394492426,0.0055865910893853,0.881,0.119
27962,10.887,-497.429,16.679,0.0028,36,16.557,0.0009,224,15.779,0.0006,251,15.322,0.0017,29,14.845,0.002,77,1.052,0.007,0.325,301.5,229.547625,1.9976666666666667,-1.589999999999998,0.0036687872655688,4421478345139844480,229.547611,1.997654,-0.0907,-0.0834,0.1015,4.2006,-9.7555,0.0362,0.0396,0.035,-0.1419,15.5514,1.045,3,1.0,-0.0903340290811029,-0.0833433831774067,0.1126725262003015,0.1070835997306709,0.1229079180910717,-137.30495379992917,-0.1554242642742835,-0.0023007751810745,0.2989626164939827,0.0036687872655688,0.8348,0.1652
